,document,sentence,label
26,out\1009.json,Role,0
27,out\1009.json,"Manage ad-hoc, cross disciplinary team consisting of design, videographers and developers during our innovation workshops to deliver outstanding protypes and supporting collateral",0
28,out\1009.json,"Understand and communicate the best practices and techniques in the area of design thinking, ideation methodologies, agile development (design sprints and rapid prototyping) and in agile product management",0
29,out\1009.json,Contribute to the development of new Digital Labs innovation programs and products and the enhancement of existing Digital Labs innovation methodologies that can be delivered to customers,0
30,out\1009.json,Keep informed on emerging technologies and innovations in the payments and commerce space and identify potential opportunities for the Digital Labs to develop product prototypes that would be relevant to the customer base,0
31,out\1009.json,Keep informed on emerging technologies and innovations in the payments and commerce space and identify potential opportunities for the Digital Labs to develop product prototypes that would be relevant to the customer base,0
32,out\1009.json,Some travel required,0
33,out\1009.json,Work Location – London,0
34,out\1009.json,Questions to consider:,0
35,out\1009.json,Are you passionate about product innovation and want to work with some of the world’s biggest brands to create innovative product prototypes & run programs to improve their innovation culture and methodologies?,0
36,out\1009.json,Does playing a key role in supporting teams who are innovating and developing leading edge technology solutions excite you?,0
37,out\1009.json,"Have you the capability to think on your feet, analyse, structure and summarise lots of information to drive decisions, be hugely creative, cajole, encourage and negotiate all at the same time?",0
38,out\1009.json,All About You,0
39,out\1009.json,"Manage the delivery of outputs from our innovation workshops to clients, ensuring that what is delivered 1) meets the clients requirements 2) solves a real customer need 3) is to our expected high quality",0
40,out\1009.json,Strong technologist with a range of experience across front end/backend/mobile development (no preferred technology stack),0
41,out\1009.json,Comfortable running presentations and interactive demos to a range of audience from internal stakeholders to c-level clients,0
42,out\1009.json,A strong understanding of how to implement CX best practices,0
43,out\1009.json,A perspective on what makes things innovative without being innovation theatre,0
44,out\1009.json,Strong organisational and prioritisation skills with a focus on done rather than perfect,0
45,out\1009.json,"Ability to clearly articulate the key features of a product, how they relate to customers pain points and solve for that",0
46,out\1009.json,Able to turn ambiguous requirements into a clear path,0
47,out\1009.json,Liaise with clients on the run up to workshops to understand their needs and gather required material to ensure successful outcomes,0
48,out\1009.json,Help manage client expectations while also looking to over deliver,0
49,out\1009.json,Keen eye for detail,0
50,out\1009.json,Keeps abreast of industry and technology trends,0
51,out\1009.json,"Excellent self-starter who always thinks MVP first with the ability to work in a small, startup-style, agile and fast-paced team",0
52,out\1009.json,Demonstrated ability to take responsibility and work in a self-directed manner,0
53,out\1009.json,Strong interpersonal skills with a passion for collaboration and teamwork,0
54,out\1009.json,Desirable skills/experience (but not requirements),0
55,out\1009.json,Design Sprints experience,0
56,out\1009.json,Experience of Agile/Scrum methodologies,0
57,out\1009.json,Experience in both start-up and corporate environments,0
58,out\1009.json,Experience building Internet of Things (IoT) devices/interfaces,0
59,out\1009.json,"Experience building Conversational UI (CUI / VUI) and Bots (Amazon Alexa, FB Messenger, Google Assistant, WhatsApp)",0
60,out\1009.json,Experience with Artificial Intelligence and/or Machine Learning (NLP/ ML/ CNN/ RNN),0
61,out\1009.json,Experience with cloud computing platforms,0
62,out\1009.json,"Financial services, banking and payment systems experience",0
63,out\1009.json,Flexibility in technology and tools choices,0
64,out\1009.json,Good communication and interaction skills,0
65,out\1009.json,Corporate Security Responsibility,0
66,out\1009.json,"All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected that every person working for, or on behalf of, Mastercard is responsible for information security and must:",0
67,out\1009.json,Abide by Mastercard’s security policies and practices;,0
68,out\1009.json,Ensure the confidentiality and integrity of the information being accessed;,0
69,out\1009.json,"Report any suspected information security violation or breach, and",0
70,out\1009.json,Complete all periodic mandatory security trainings in accordance with Mastercard’s guidelines,0
0,out\1011.json,Job reference,0
1,out\1011.json,6KAVVepg2xJg_crt:1682321615791,0
2,out\1011.json,Company Name,0
3,out\1011.json,Dragons Lake,0
4,out\1011.json,Salary,0
5,out\1011.json,Competitive,0
6,out\1011.json,Location,0
7,out\1011.json,"Bulgaria, Croatia, Cyprus, Czech Republic, Hungary, Poland, Portugal, Romania, Slovenia, Spain, United Kingdom",0
8,out\1011.json,Country,0
9,out\1011.json,Bulgaria,0
10,out\1011.json,Industry sector,0
11,out\1011.json,Programming,0
12,out\1011.json,Job start date,0
13,out\1011.json,ASAP,0
14,out\1011.json,Posted date,0
15,out\1011.json,24/04/2023,0
16,out\1011.json,Experience Level,0
17,out\1011.json,Mid-Senior Level,0
18,out\1011.json,Job type,0
19,out\1011.json,Permanent | Full Time,0
20,out\1011.json,Remote / Hybrid,0
21,out\1011.json,Yes,0
22,out\1011.json,Dragons Lake is a best-in-class multi-genre game development studio providing advanced tech and design solutions for AAA/AA+ projects on PC & Consoles in association with Room 8 Group,0
23,out\1011.json,"We unite game dev professionals worldwide, working on high-end titles, co-developing, and porting with leading AAA publishers and developers in the industry",0
24,out\1011.json,"Join the phenomenal team of professionals and deliver creative and tech services, bringing games to the next level together with Dragons Lake",0
25,out\1011.json,We are looking for a Middle AI Developer who will work on AI code for video games for PC and consoles,0
26,out\1011.json,You'll participate in the process from the design stages to the AI systems implementation,0
27,out\1011.json,Expectations are clear:,1
28,out\1011.json,Expertise in C/C++,1
29,out\1011.json,Solid foundation on software design and debugging,1
30,out\1011.json,2+ years of experience developing AI behaviors,1
31,out\1011.json,"2+ years of UE4 experience, 1+ of which developing AI in UE4",1
32,out\1011.json,Confidence working with a cross-platform code base,1
33,out\1011.json,Familiarity with PC and Console game development techniques and best practices,1
34,out\1011.json,Great lateral thinking and motivation to work independently and in a team,1
35,out\1011.json,Efficient teamwork skills and ability to work directly with teams from multiple locations and time zones,1
36,out\1011.json,Ability to create and maintain technical documentation throughout the project duration,1
37,out\1011.json,Dedication and professionalism,1
38,out\1011.json,Becoming one of the Dragons you will:,0
39,out\1011.json,Write and modify C++ code in UE4 to implement and enhance AI behavior,0
40,out\1011.json,"Work closely with designers, animators, and other engineers to meet AI and technical goals and collaboratively brainstorm on AI techniques throughout the process",0
41,out\1011.json,Develop prototypes for testing,0
42,out\1011.json,"Participate in code reviews, diagnose and fix AI bugs, profile and optimize game code as necessary",0
43,out\1011.json,"Use company-provided workstation hardware, console dev kits, and video game industry-standard software tools such as Visual Studio and Perforce to perform your work",0
44,out\1011.json,"Participate in project meetings (planning, organization) and communicate with other developers, company leadership, and external partners using online tools such as Slack, Zoom, and Google Meet",0
45,out\1011.json,"Mentor others within your team and/or across departments, collaborate on peer education, and self-study",0
46,out\1011.json,Provide documentation to other departments and contribute to the influence strategy and overall direction for the remote work environment,0
47,out\1011.json,"Grow with us, we've got you covered:",0
48,out\1011.json,"Competitive financial reward (yes, we are fair enough)",0
49,out\1011.json,"Challenges to raise your XPs score (professional training and conferences, internal mentorship, English courses)",0
50,out\1011.json,"Health insurance benefits, paid vacation, and sick leave",0
51,out\1011.json,A culture of diversity and inclusion to unite the most outstanding talents,0
52,out\1011.json,Community of people who understand and share your passion for games,0
53,out\1011.json,Join Dragons Lake and take on challenges you've always dreamed of,0
0,out\1012.json,As a,0
1,out\1012.json,"Web Developer at CentralNic you will get the chance to be working within the new and exciting Web Development team where we will be championing the use of modern development standards, frameworks, CMS solutions and processes",0
2,out\1012.json,We are looking for ambitious,0
3,out\1012.json,Full Stack candidates who have an established commercial history of working on,0
4,out\1012.json,"CMS solutions, especially",0
5,out\1012.json,"Wordpress, to join our new team in maintaining our established web presence while also assisting in the planning and approach to our future CMS solutions within the group",0
6,out\1012.json,The role will include working with web designs and translating them into pixel perfect responsive web pages with full CMS functionality to full on web applications hydrating data from our server api endpoints,0
7,out\1012.json,We expect the candidate to use modern,0
8,out\1012.json,"HTML,",0
9,out\1012.json,"SASS,",0
10,out\1012.json,"CSS,",0
11,out\1012.json,"OOP JavaScript,",0
12,out\1012.json,OOP PHP coding standards with experience using Javascript application libraries like,0
13,out\1012.json,"Vue, React or Angular to achieve this",0
14,out\1012.json,"The right candidate will also have excellent problem solving skills and attention to detail with their work being able to think out of the box, gather and refine specifications and requirements based on technical needs",0
15,out\1012.json,This role will ideally be based in Germany,0
16,out\1012.json,Key outcomes of the role,0
17,out\1012.json,"Write well designed, secure, testable, efficient code by using best software development practices",0
18,out\1012.json,"Create a responsive, modern website layout/user interface by using standard HTML/CSS practices",0
19,out\1012.json,Develop with page speed performance and other modern SEO metrics in mind,0
20,out\1012.json,Integrate data from various back-end services and databases,0
21,out\1012.json,Gather and refine specifications and requirements based on technical needs,0
22,out\1012.json,Create and maintain software documentation,0
23,out\1012.json,Using version control and ensuring proper testing and QA,0
24,out\1012.json,Stay plugged into emerging technologies/industry trends and apply them to operations and activities,0
25,out\1012.json,Cooperate with web designers to match visual design intent,0
26,out\1012.json,Maintain and update websites and underlying frameworks or CMS in order to keep them up to date in regards to any security patches or latest features or enhancements,0
27,out\1012.json,"Be responsible for maintaining, expanding, and scaling our sites",0
28,out\1012.json,About you,0
29,out\1012.json,Strong organizational skills to juggle multiple tasks within the constraints of timelines and budgets with business acumen,0
30,out\1012.json,"Ability to work and thrive in a fast-paced environment, learn rapidly, and master diverse web technologies and techniques",0
31,out\1012.json,Aggressive problem diagnosis and creative problem-solving skills,0
32,out\1012.json,Experience and skills that will help you succeed,1
33,out\1012.json,A mandatory 5+ years working in Commercial environments using modern LAMP technologies and systems:,1
34,out\1012.json,"GIT, PHP 7+, JavaScript, Jquery, CSS, SASS, Semantic HTML, MySQL",1
35,out\1012.json,Strong experience working with modern CMS solutions in particular Wordpress and being able to adapt them at the code level,1
36,out\1012.json,Work closely with the UX/UI design teams to develop responsive websites and applications to provide low bandwidth pixel perfect results on any modern device,1
37,out\1012.json,"Experience working with modern Javascript application libraries like Vue, React or Angular with the ability to digest dynamic data like API endpoints within the DOM",1
38,out\1012.json,"A solid understanding of how web applications work including security, session management, and best development practices",1
39,out\1012.json,Being able to set up and work with development environments in particular Docker,1
40,out\1012.json,Desired skills,1
41,out\1012.json,PhpUnit or any other form of testing,1
42,out\1012.json,Experience with Microservice solutions or Application Frameworks like Laravel/Symphony,1
43,out\1012.json,Basic knowledge of the Search Engine Optimization process and how to develop to optimize it,1
44,out\1012.json,"Adequate knowledge of relational database systems, Object-Oriented Programming, and web application development",1
45,out\1012.json,Understanding of website and behaviour analytics tools for customer journey mapping such as Hotjar or Google Analytics,1
46,out\1012.json,What's in it for you?,0
47,out\1012.json,"There are many reasons to come on board our team of talented professionals, but here are just a few…",0
48,out\1012.json,"We are collaborative, fair, consciously inclusive, and flexible",0
49,out\1012.json,"We trust, value, and support our people to make the difference",0
50,out\1012.json,We believe that diversity of thought and experience provides the platform for innovation and creativity,0
51,out\1012.json,We invest in the development of our people to drive our ambitions forward,0
52,out\1012.json,We offer a range of benefits (including your choice of tech) and a competitive package,0
53,out\1012.json,We offer a great work environment in an internationally successful enterprise in the online services industry,0
54,out\1012.json,"If you need assistance completing an application for a position with us or need us to make any reasonable adjustments, please reach out to our Recruiting Team at talent@centralnic",0
55,out\1012.json,com,0
56,out\1012.json,About CentralNic,0
57,out\1012.json,"We are an ambitious company founded in 1996 and listed on the London Stock Exchange (CNIC), which is growing quickly through acquisition",0
58,out\1012.json,We live and breathe our values and are committed to the growth of our business that we achieve through the growth and development of our people,0
59,out\1012.json,We are successful because we recognise that our people are at the core of everything we do,0
60,out\1012.json,Our mission is to enable the global economy to achieve its online aspirations,0
61,out\1012.json,"As the developer and operator of software platforms, we provide web presence services to customers in over 180 countries",0
62,out\1012.json,"We are a leading provider of tools required to create websites, use email, and secure business online",0
63,out\1012.json,"Headquartered in London, the Group generates revenue and income from the worldwide sale of internet domain names and hosting on an annual subscription basis",0
64,out\1012.json,CentralNic is also currently expanding its monetisation offering to acquire traffic and optimise online marketing activities,0
0,out\1016.json,We’re looking UK-wide for talented Software Engineers to work remotely on cutting-edge embedded software projects,0
1,out\1016.json,Consult Red is an employee-owned company and a trusted partner to some of the world's largest brands,0
2,out\1016.json,"We're an R&D technology partner that develops cutting-edge 'Internet of Things (IoT) smart, connected products, video and broadband end-user equipment streaming TV devices, networks and platforms",0
3,out\1016.json,Connected devices and systems developed by Consult Red are currently in more than 30 million homes around the world,0
4,out\1016.json,"Our story started in 2003 when five friends founded the company in Shipley, West Yorkshire",0
5,out\1016.json,"Since then, we've grown a lot",0
6,out\1016.json,"We work with the world's leading media operators, including Liberty Global (Virgin, UPC), Comcast (Sky) and AT&T (Directv), and in the last 12 months alone we’ve grown our team in the UK, Poland and the US by 40%",0
7,out\1016.json,"We're now over 220 people globally, working collaboratively to provide an industry-leading consultancy service across software development, hardware, embedded, and cloud technologies",0
8,out\1016.json,We're proud to be an employee-owned business,0
9,out\1016.json,"At Consult Red, everyone has a stake, and everyone has a say",0
10,out\1016.json,"The employees are the business owners, and we work together with shared values and purpose towards our common goals",0
11,out\1016.json,"We want every team member to feel empowered, have a say in our future, and share in our success",0
12,out\1016.json,Overview:,0
13,out\1016.json,We’re looking for highly experienced Software Engineers with a proven track record of software development using C++ or Java in an embedded environment,0
14,out\1016.json,How You’ll Spend Your Time:,0
15,out\1016.json,You will work in an agile environment reporting to a Group Lead or Project Manager and will have considerable exposure to our clients and other partners,0
16,out\1016.json,"Working as part of a team, you’ll be a key part of the planning, design, development, debugging and integration of embedded software modules for cutting edge broadcast and internet TV receivers (""set-top boxes"") or similar embedded/Internet of Things (IoT) devices",0
17,out\1016.json,What You’ll Need To Bring:,1
18,out\1016.json,"Strong experience with C, C++ or Java in an embedded Linux or Android environment",1
19,out\1016.json,Strong debug and problem-solving skills,1
20,out\1016.json,Experienced developing and debugging multithreaded and/or multiprocess code,1
21,out\1016.json,"Ability to understand complex issues and discuss them via phone, email and other methods",1
22,out\1016.json,"Flexible, can-do approach",1
23,out\1016.json,Desirable Tech Skills:,1
24,out\1016.json,"Experience with any of the following is useful, although not required – ability and willingness to learn are just as important",1
25,out\1016.json,"Object Orientated programming in C++ or Java / UML diagramming / C++11 / STL or frameworks such as Qt / Embedded or mobile Java / RDK (Reference Design Kit) / JNI / Linux kernel / drivers / GCC / GDB / TDD and Unit Testing frameworks such as Google Test / Mockito / JUnit and similar / Software development for consumer electronics or TV / Audio,Video & TV standards / Networking protocols and standards including TCP/IP / Wi-Fi / UPnP / DLNA / HLS or MPEG-DASH / Agile, Scrum methodologies",1
26,out\1016.json,What we'll give you in return:,0
27,out\1016.json,A competitive salary that grows with your career,0
28,out\1016.json,A twice-yearly company bonus scheme,0
29,out\1016.json,"Opportunities to train, develop and grow your career",0
30,out\1016.json,"25 days' holiday as standard, rising an extra day every year",0
31,out\1016.json,A flexible and risk-averse approach to remote work,0
32,out\1016.json,"Access to the ""Headspace"" mindfulness app",0
33,out\1016.json,Our Recruitment Process:,0
34,out\1016.json,We believe in moving fast and keeping things simple,0
35,out\1016.json,"Once you submit your CV, it will be reviewed by the hiring team",0
36,out\1016.json,"If your skills look like they may be a good fit, we’ll then progress your application and invite you to a first-stage technical interview via Microsoft Teams",0
37,out\1016.json,"If that goes well, we'll do a final stage interview which can either be done via Teams or face-to-face at the office",0
38,out\1016.json,"However we do it, we want you to leave us with a real feel for the role and a sense of what it's like to work with us, so we're happy to spend some quality time to answer all of your questions",0
39,out\1016.json,So what are you waiting for? If this sounds like what you’ve been looking for just click apply to send us your details and we’ll be in touch really soon,0
40,out\1016.json,"You can find out more about our company, and what it’s like to work with us, on our LinkedIn or Glassdoor pages",0
0,out\1017.json,Why N-able:,0
1,out\1017.json,"IT doesn’t get better than this! N-able isn’t just another software company – we’re going places, and we’d love for you to be a part of that journey",0
2,out\1017.json,"With N-ablites in more than 15 countries around the world, you’re adding your unique voice to a diverse team of people who are supporting our customers, and one another",0
3,out\1017.json,"The Way We Work, our hybrid working model based on trust and flexibility, allows you to maximize your contributions while growing your career",0
4,out\1017.json,Join a team where you can make a difference!,0
5,out\1017.json,This is a chance to join a dynamic global team working on the next generation of N-able’s Remote Monitoring & Management products,0
6,out\1017.json,What You'll Do:,0
7,out\1017.json,"Design and implement features for large scale, event driven distributed systems with large volumes of data focusing on scalability, performance, and availability",0
8,out\1017.json,"Develop Systems / Component architectures and APIs for a rapidly scaling secure platform, while ensuring successful product delivery and operational excellence",0
9,out\1017.json,"Lead research and proof of concept initiatives for cloud native designs and implementation within public clouds, primarily AWS",0
10,out\1017.json,Conduct design/code reviews while raising the bar for all of engineering,0
11,out\1017.json,Debug critical hard to solve issues across services and tech stack,0
12,out\1017.json,What You'll Bring:,1
13,out\1017.json,"Software Engineering experience with Object Oriented Programming in languages such as Go (preferred), Java and C#",1
14,out\1017.json,Experience in cloud-native technology stack (AWS) and service-oriented architecture,1
15,out\1017.json,"Proven ability in building high-performance, highly available, and scalable distributed systems",1
16,out\1017.json,"Strong knowledge of data structures, algorithms, and designing for performance, scalability, and availability",1
17,out\1017.json,Experience with RESTful APIs and event driven systems,1
18,out\1017.json,"Experience with CI/CD tools including Jenkins, Artifactory, etc",1
19,out\1017.json,"Experience working with containers, orchestration, Docker and Kubernetes",1
20,out\1017.json,Purple Perks:,0
21,out\1017.json,"Medical, dental and vision coverage",0
22,out\1017.json,Generous PTO and observed holidays,0
23,out\1017.json,2 Paid VoluNteer Days per year,0
24,out\1017.json,Employee Stock Purchase Program,0
25,out\1017.json,Discounted gym access at several local facilities,0
26,out\1017.json,FuN-raising opportunities as part of our giving program,0
27,out\1017.json,N-ablite Learning – custom learning experience as part of our investment in you,0
28,out\1017.json,The Way We Work – our hybrid working model based on trust and flexibility,0
29,out\1017.json,About N-able:,0
30,out\1017.json,"At N-able, Inc",0
31,out\1017.json,"(NYSE: NABL), we are a global software company that turns IT possibilities into capabilities",0
32,out\1017.json,That means we partner with technology leaders who support companies around the world by offering secure infrastructure and tools to navigate their evolving IT needs,0
33,out\1017.json,"We build strong relationships with our customers to help them thrive at every stage of growth, and at the heart of this effort is our network of N-ablites—a global team of extraordinary, diverse creators who are dedicated to making a difference in how our partners do IT",0
34,out\1017.json,#LI-DH1,0
0,out\1020.json,Who are we?,0
1,out\1020.json,MISSION is a collective of Creative and MarTech Agencies led by entrepreneurs who encourage an independent spirit,0
2,out\1020.json,"Employing 1,000 people across 27 locations and 3 continents, the Group successfully combines its diverse expertise to produce Work That Counts ™ for our Clients, whatever their ambitions",0
3,out\1020.json,"Creating real standout, sharing real innovation and delivering real growth for some of the world's biggest brands",0
4,out\1020.json,The Internal Development Team,0
5,out\1020.json,"We are a small but ambitious development team, working specifically on developing new internal software as well as maintaining and advancing existing systems",0
6,out\1020.json,"As member of this team, you’ll be making a real difference to the business by designing, developing and maintaining high quality software",0
7,out\1020.json,The Role,0
8,out\1020.json,"We have an opportunity for a talented web developer familiar with using C#, SQL, and react to join MISSION group, based in our North Devon office",0
9,out\1020.json,"Reporting into our Principal Developer, we are looking for a confident self-starter, who is highly motivated and a team player",0
10,out\1020.json,You will have demonstratable experience of developing data driven software with a polished finish,0
11,out\1020.json,The role will involve:,0
12,out\1020.json,"Working with the Principal Developer to design, develop, deliver and maintain new software",0
13,out\1020.json,Working with the Project Manager to take user requirements and translate into functional software design,0
14,out\1020.json,Interpreting user requirements to build effective and useable web applications,0
15,out\1020.json,Working along-side the Senior Test Analyst to ensure stable and robust functionality,0
16,out\1020.json,Reviewing work with the internal team and demonstrating initial builds during user team reviews,0
17,out\1020.json,"Continual improvement and maintenance and third line of the recently developed job costing, timesheet and reporting system",0
18,out\1020.json,What will I need?,1
19,out\1020.json,Languages,1
20,out\1020.json,"C# (including LINQ, reflection & unit testing)",1
21,out\1020.json,SQL,1
22,out\1020.json,HTML & CSS,1
23,out\1020.json,JavaScript,1
24,out\1020.json,Frameworks,1
25,out\1020.json,ASP,1
26,out\1020.json,net MVC,1
27,out\1020.json,Entity framework,1
28,out\1020.json,React,1
29,out\1020.json,Design,1
30,out\1020.json,UX experience,1
31,out\1020.json,Eye for a good finish,1
32,out\1020.json,"We would love if you also had experience of Git and Selenium, however this is not a necessity and full training will be provided where needed",1
33,out\1020.json,And in return…,0
34,out\1020.json,"25 days’ holiday, increasing to 29 after 2 years’ service + Plus Bank Holidays",0
35,out\1020.json,"Company pension scheme, with enhanced Employer contributions after 1 years’ service",0
36,out\1020.json,"Medical Cash Plan – including employee assist programme, contributions to dental, optical, physio etc",0
37,out\1020.json,"Employee Discount Scheme – an online platform for all staff offering a variety of discounts at various shopping outlets, gyms etc",0
38,out\1020.json,"Electric Car Purchase Scheme, via Salary Sacrifice",0
39,out\1020.json,"Outstanding training and progression, including access to LinkedIn Learning and The Mission Group Learning Management System",0
40,out\1020.json,Company Christmas closure,0
41,out\1020.json,Cycle To Work scheme,0
42,out\1020.json,Mission Share Purchase Scheme,0
43,out\1020.json,We are proud to be a Disability Confident Committed (Level 1) Employer,0
44,out\1020.json,"As a Disability Confident Committed Employer we have committed to; ensure our recruitment process is inclusive and accessible, communicating and promoting vacancies, offering an interview to disabled people who meet the minimum criteria for the job and anticipating and providing reasonable adjustments as required",0
45,out\1020.json,"Job Types: Full-time, Permanent",0
46,out\1020.json,"Salary: Up to £45,000",0
47,out\1020.json,00 per year,0
48,out\1020.json,Benefits:,0
49,out\1020.json,Work from home,0
50,out\1020.json,Schedule:,0
51,out\1020.json,Monday to Friday,0
52,out\1020.json,Ability to commute/relocate:,0
53,out\1020.json,"Barnstaple, EX32 0RX: reliably commute or plan to relocate before starting work (required)",0
54,out\1020.json,Application question(s):,0
55,out\1020.json,What salary are you looking for?,0
56,out\1020.json,Experience:,0
57,out\1020.json,C#: 1 year (preferred),0
58,out\1020.json,Licence/Certification:,0
59,out\1020.json,Driving Licence (preferred),0
60,out\1020.json,Work authorisation:,0
61,out\1020.json,United Kingdom (preferred),0
0,out\1023.json,"Location: While the majority of our team is based in the Aberdeen area, we are willing and open to expand our search to hire fully remote employees in other locations within Scotland",0
1,out\1023.json,Must be authorized to work in the UK,0
2,out\1023.json,Curve Dental is looking for a skilled and driven individual to join our team! Curve provides Dental Practices with award winning software and high-level customer support,0
3,out\1023.json,"Our software allows dentists to manage their full business including patient scheduling, billing, imaging and record keeping",0
4,out\1023.json,Beyond the day to day business we are committed to building a work environment where employees feel safe and appreciated for their contributions,0
5,out\1023.json,"We value our team's individual and combined success, and we have fun along the way!",0
6,out\1023.json,Job Summary,0
7,out\1023.json,We hire developers who are passionate about software development and technically excellent,0
8,out\1023.json,Our developers work across the full stack of an application and understand that a project is not done until it has been deployed to production for our users,0
9,out\1023.json,We want developers who can contribute positively to our culture and teach us things we didn't know before,0
10,out\1023.json,Those same developers are always hungry to learn and improve in any way they can,0
11,out\1023.json,Things we're looking for in terms of more specific skill-sets and experience:,1
12,out\1023.json,BSc In Computer Science or related technical discipline (or equivalent),1
13,out\1023.json,Extensive programming experience in a language that demands strong OO skills (C# / Java / C++ / etc,1
14,out\1023.json,),1
15,out\1023.json,Note that we don't use all these technologies; these are examples of the types of skills we look for,1
16,out\1023.json,Extensive experience working with JavaScript frameworks in a rich web application,1
17,out\1023.json,Experience with AngularJS and Angular 8+,1
18,out\1023.json,Code reviews & Continuous Improvement are a part of everyday life in your work,1
19,out\1023.json,Experience with database design and SQL,1
20,out\1023.json,Several years of software design and development experience,1
21,out\1023.json,"A solid foundation in computer science, with strong competencies in data structures, algorithms, and software design",1
22,out\1023.json,Previous experience with agile development methodologies and unit testing,1
23,out\1023.json,"An interest in working with industry-leading technologies such as Ansible, Angular, NetCore, AWS and BI",1
24,out\1023.json,Knowledge of PHP & Unix / Linux is beneficial but not essential,1
0,out\1024.json,Career Level: 09 Developing,0
1,out\1024.json,Posting Date: 30-Apr-2023,0
2,out\1024.json,Are you interested in joining a vibrant and driven team of talented software engineers who create the software that has made Club Systems the undisputed leader in golf IT applications since 1982?,0
